Region,Country of Nationality,Number of Arrivals-2017,Number of Arrivals-2018,Number of Arrivals-2019,Number of Arrivals-2020,Number of Arrivals-2021,Percentage Share  - 2018/17,Percentage Share  - 2019/18,Percentage Share  - 2020/19,Percentage Change - 2021/20,Percentage Change - 2021
North America,Canada,335439.0,351040.0,351859,122868.0,80437,4.7,0.2,-65.1,-34.5,5.27
North America,U. S. A,1376919.0,1456678.0,1512032,394092.0,429860,5.8,3.8,-73.9,9.1,28.15
North America,Total,1712358.0,1807718.0,1863892,516960.0,510299,5.6,3.1,-72.3,-1.3,33.42
Central and South America,Argentina,14875.0,16345.0,12844,4294.0,530,9.9,-21.4,-66.6,-87.7,0.03
Central and South America,Brazil,24453.0,26579.0,25422,8092.0,2055,8.7,-4.4,-68.2,-74.6,0.13
Central and South America,Mexico,18114.0,19909.0,20766,4580.0,859,9.9,4.3,-77.9,-81.2,0.06
Central and South America,Others,34625.0,38252.0,39894,10002.0,3354,10.5,4.3,-74.9,-66.5,0.22
Central and South America,Total,92067.0,101085.0,98926,26968.0,6798,9.8,-2.1,-72.7,-74.8,0.45
Western Europe,Austria,31842.0,33200.0,32332,9182.0,4411,4.3,-2.6,-71.6,-52.0,0.29
Western Europe,Belgium,41902.0,44086.0,39263,11022.0,7382,5.2,-10.9,-71.9,-33.0,0.48
Western Europe,Denmark,26761.0,28195.0,26492,8252.0,2025,5.4,-6.0,-68.9,-75.5,0.13
Western Europe,Finland,20384.0,21239.0,18945,4310.0,1329,4.2,-10.8,-77.2,-69.2,0.09
Western Europe,France,249620.0,261653.0,247238,74243.0,30374,4.8,-5.5,-70.0,-59.1,1.99
Western Europe,Germany,269380.0,274087.0,264973,72558.0,33772,1.7,-3.3,-72.6,-53.5,2.21
Western Europe,Greece,10286.0,10656.0,10317,2854.0,1144,3.6,-3.2,-72.3,-59.9,0.07
Western Europe,Ireland,37993.0,39276.0,41183,9708.0,7600,3.4,4.9,-76.4,-21.7,0.5
Western Europe,Italy,111915.0,126931.0,128572,31186.0,13659,13.4,1.3,-75.7,-56.2,0.89
Western Europe,Netherlands,76652.0,81615.0,80313,26258.0,15631,6.5,-1.6,-67.3,-40.5,1.02
Western Europe,Norway,20882.0,22631.0,21898,6224.0,2790,8.4,-3.2,-71.6,-55.2,0.18
Western Europe,Portugal,66378.0,74492.0,74743,31005.0,32064,12.2,0.3,-58.5,3.4,2.18
Western Europe,Spain,81442.0,84356.0,83322,16335.0,6982,3.6,-1.2,-80.4,-57.3,0.46
Western Europe,Sweden,45851.0,46743.0,42318,11992.0,5579,1.9,9.5,-71.7,-53.5,0.37
Western Europe,Switzerland,49607.0,49322.0,46826,12675.0,4198,-0.6,-5.1,-72.9,-66.9,0.27
Western Europe,U.K.,986296.0,1029757.0,1000292,291874.0,164143,4.4,-2.9,-70.8,-43.8,10.75
Western Europe,Others,6492.0,15393.0,19414,4937.0,1767,137.2,26.1,-74.6,-64.2,0.12
Western Europe,Total,2136673.0,2243635.0,2178441,624615.0,334850,5.2,-2.9,-71.3,-46.4,21.93
Eastern Europe,  Czech Rep.,11852.0,13413.0,13290,3607.0,983,13.2,-0.9,-72.9,-72.7,0.06
Eastern Europe,Hungary,9241.0,9201.0,9788,2964.0,653,-0.4,6.4,-69.7,-78.0,0.04
Eastern Europe,Kazakhstan,15421.0,13314.0,15709,5918.0,2378,-13.7,18.0,-62.3,-59.8,0.16
Eastern Europe,Poland,28674.0,31555.0,33687,12161.0,2461,10.0,6.8,-63.9,-79.8,0.16
Eastern Europe,Russian Fed.,278904.0,262309.0,251319,102166.0,17567,-6.0,-4.2,-59.3,-82.8,1.15
Eastern Europe,Ukraine,25988.0,26260.0,29468,10619.0,5197,1.0,12.2,-64.0,-51.1,0.34
Eastern Europe,Others,102792.0,109997.0,103220,30710.0,13875,7.0,-6.2,-70.2,-54.8,0.91
Eastern Europe,Total,472872.0,466049.0,456481,168145.0,43114,-1.4,-2.1,-63.2,-74.4,2.82
Africa,Egypt,20528.0,20486.0,21538,4886.0,1739,-0.2,5.1,-77.3,-64.4,0.11
Africa,Kenya,46011.0,48845.0,48639,12779.0,13373,6.2,-0.4,-73.7,4.6,0.88
Africa,Mauritius,37706.0,42096.0,46814,11410.0,2118,11.6,11.2,-75.6,-81.4,0.14
Africa,Nigeria,12651.0,12067.0,14033,3819.0,5516,-4.6,16.3,-72.8,44.4,0.36
Africa,South Africa,57060.0,58613.0,57274,12561.0,3820,2.7,-2.3,-78.1,-69.6,0.25
Africa,Sudan,22762.0,34712.0,34003,9114.0,6781,52.5,-2.0,-73.2,-25.6,0.44
Africa,Tanzania,22261.0,23443.0,23774,6501.0,6480,5.3,1.4,-72.7,-0.3,0.42
Africa,Others,99044.0,110936.0,116233,29226.0,29087,12.0,4.8,-74.9,-0.5,1.9
Africa,Total,318023.0,351198.0,362308,90296.0,68914,10.4,3.2,-75.1,-23.7,4.51
West Asia,Bahrain,16764.0,13915.0,15128,3429.0,1727,-17.0,8.7,-77.3,-49.6,0.11
West Asia,Iraq,56230.0,68462.0,61907,17823.0,16213,21.8,-9.6,-71.2,-9.0,1.06
West Asia,Israel,58131.0,67366.0,73137,17444.0,4601,15.9,8.6,-76.1,-73.6,0.3
West Asia,Oman,107217.0,95160.0,74564,15430.0,10174,-11.2,-21.6,-79.3,-34.1,0.67
West Asia,Saudi Arabia,52976.0,47546.0,48526,10423.0,1088,-10.2,2.1,-78.5,-89.6,0.07
West Asia,Turkey,33251.0,33825.0,35113,10853.0,3710,1.7,3.8,-69.1,-65.8,0.24
West Asia,U.A.E.,67238.0,59971.0,55413,7387.0,3927,-10.8,-7.6,-86.7,-46.8,0.26
West Asia,Yemen Arab Rep.,21695.0,21674.0,26065,5882.0,6235,-0.1,20.3,-77.4,6.0,0.41
West Asia,Others,44258.0,41629.0,42090,8980.0,4499,-5.9,1.1,-78.7,-49.9,0.29
West Asia,Total,447760.0,449548.0,431943,97651.0,52174,-1.8,-3.9,-77.4,-46.6,3.42
South Asia,Afghanistan,149176.0,153905.0,124120,47561.0,36451,3.2,-19.4,-61.7,-23.4,2.39
South Asia,Bangladesh,2156557.0,2256675.0,2577727,549273.0,240554,4.6,14.2,-78.7,-56.2,15.75
South Asia,Bhutan,25267.0,26470.0,28178,7901.0,6081,4.8,6.5,-72.0,-23.0,0.4
South Asia,Iran,42641.0,35596.0,33288,7090.0,2369,-16.5,-6.5,-78.7,-66.6,0.16
South Asia,Maldives,66150.0,62337.0,78587,14536.0,26571,-5.8,26.1,-81.5,82.8,1.74
South Asia,Nepal,164018.0,174096.0,164040,40822.0,52544,6.1,-5.8,-75.1,28.7,3.44
South Asia,Pakistan,44266.0,41659.0,39018,14232.0,8163,-5.9,-6.3,-63.5,-42.6,0.53
South Asia,Sri Lanka,303590.0,353684.0,330861,68646.0,25989,16.5,-6.5,-79.3,-62.1,1.7
South Asia,Total,2951665.0,3104422.0,3375819,750061.0,398722,5.2,8.7,-77.8,-46.8,26.11
South East Asia,Indonesia,43973.0,46867.0,50177,11795.0,2105,6.6,7.1,-76.5,-82.2,0.14
South East Asia,Malaysia,322126.0,319172.0,334579,69897.0,6628,-0.9,4.8,-79.1,-90.5,0.43
South East Asia,Myanmar,56952.0,75773.0,86842,35291.0,3013,33.0,14.6,-59.4,-91.5,0.2
South East Asia,Philippines,53963.0,53473.0,56393,16052.0,6927,-0.9,5.5,-71.5,-56.8,0.45
South East Asia,Singapore,175852.0,183581.0,190089,33747.0,13407,4.4,3.5,-82.2,-60.3,0.88
South East Asia,Thailand,140087.0,166293.0,169956,52626.0,4668,18.7,2.2,-69.0,-91.1,0.31
South East Asia,Vietnam,23771.0,31427.0,33636,8828.0,1104,32.2,7.0,-73.8,-87.5,0.07
South East Asia,Others,7851.0,10502.0,8868,3386.0,622,33.8,-15.6,-61.8,-81.6,0.04
South East Asia,Total,824575.0,887088.0,930540,231622.0,38474,7.6,4.9,-75.1,-83.4,2.52
East Asia,China,247235.0,281768.0,339442,39586.0,3502,14.0,20.5,-88.3,-91.2,0.23
East Asia,Japan,222527.0,236236.0,238903,48191.0,15358,6.2,1.1,-79.8,-68.1,1.01
East Asia,Rep.of Korea ,142383.0,150536.0,149445,32302.0,13330,5.7,-0.7,-78.4,-58.7,0.87
East Asia,Others,51150.0,56028.0,54435,10304.0,1572,9.5,-2.8,-81.1,-84.7,0.1
East Asia,Total,663295.0,724568.0,782225,130383.0,33762,9.2,8.0,-83.3,-74.1,2.21
Australasia,Australia,324243.0,346486.0,367241,86758.0,33864,6.9,6.0,-76.4,-61.0,2.22
Australasia,New Zealand,56597.0,60664.0,65551,16653.0,4497,7.2,8.1,-74.6,-73.0,0.29
Australasia,Others,5219.0,5478.0,6147,1636.0,504,5.0,12.2,-73.4,-69.2,0.03
Australasia,Total,386059.0,412628.0,438939,105047.0,38865,6.9,6.4,-76.1,-63.0,2.54
Not Classified elsewhere,Not Classified elsewhere,23456.0,10037.0,10841,3018.0,1142,-57.2,8.0,-72.2,-62.2,0.07
Grand Total,Grand Total,10035803.0,10557976.0,10930355,2744766.0,1527114,5.2,3.5,-74.9,-44.4,100.0
